year;sex;rate
2038;2;0.0206076510244523
2039;1;0.0218995129288855
2039;2;0.0206982558493396
2040;1;0.0219874532957818
2040;2;0.0207813724108546
2041;1;0.0220351122556592
2041;2;0.0208264171270663
2042;1;0.022103498754922
2042;2;0.0208910524120144
2043;1;0.0221831594570786
2043;2;0.0209663434744106
2044;1;0.0222612336865251
2044;2;0.0210401350871086
2045;1;0.0223336327065549
2045;2;0.0211085627934547
2046;1;0.0224090367082778
2046;2;0.021179830648808
2047;1;0.0224687785616708
2047;2;0.0212362954738686
2048;1;0.0225206404411006
2048;2;0.0212853125662921
2049;1;0.0225631591664992
2049;2;0.0213254990060338
2050;1;0.0226117927465276
2050;2;0.0213714648814195
2051;1;0.0226314056545051
2051;2;0.0213900019597822
2052;1;0.0226557286627369
2052;2;0.0214129907746039
2053;1;0.0226750539686073
2053;2;0.0214312560267385
2054;1;0.0227035758784584
2054;2;0.0214582134202352
2055;1;0.0227269979926448
2055;2;0.02148035075788
2056;1;0.0227719147614102
2056;2;0.0215228037007765
2057;1;0.0227923684460767
2057;2;0.0215421354365856
2058;1;0.0228157697141614
2058;2;0.0215642530716028
2059;1;0.0228333189507603
2059;2;0.0215808396774449
2060;1;0.0228430023051671
2060;2;0.021589991869443
2061;1;0.0228630129937186
2061;2;0.0216089049088657
2062;1;0.0228758670949599
2062;2;0.0216210539222739
2063;1;0.0228820286401063
2063;2;0.0216268774873131
2064;1;0.0228823367778696
2064;2;0.0216271687227521
2065;1;0.0228746937904868
2065;2;0.021619944977237
2066;1;0.0228755687608773
2066;2;0.021620771952753
2067;1;0.0228847445799783
2067;2;0.0216294444493512
2068;1;0.0229020138682727
2068;2;0.0216457664629327
2069;1;0.0229281120528761
2069;2;0.0216704330801254
2070;1;0.0229631604930968
2070;2;0.0217035590032985
2071;1;0.0229852864676252
2071;2;0.0217244712986172
2072;1;0.0230073043697914
2072;2;0.0217452814496823
2073;1;0.0230291820174427
2073;2;0.0217659590396331
2074;1;0.0230510146445673
2074;2;0.0217865940785747
2075;1;0.0230729252818191
2075;2;0.0218073028485429
2076;1;0.0230936294762683
2076;2;0.0218268713528862
2077;1;0.0231125623167364
2077;2;0.0218447656675787
2078;1;0.0231290517725582
2078;2;0.0218603506249486
2079;1;0.0231424803504731
2079;2;0.02187304260318
2080;1;0.0231524226506811
2080;2;0.0218824395369888
2081;1;0.0231581871020906
2081;2;0.02188788779013
2082;1;0.0231597633080474
2082;2;0.0218893775362386
2083;1;0.0231573846915632
2083;2;0.0218871293943407
2084;1;0.0231513782231191
2084;2;0.0218814523995596
2085;1;0.0231422687796077
2085;2;0.0218728426376413
2086;1;0.0231306055665169
2086;2;0.0218618191884275
2087;1;0.0231169774434009
2087;2;0.0218489386106759
2088;1;0.0231019556550994
2088;2;0.0218347408146524
2089;1;0.0230860241185813
2089;2;0.0218196831729599
2090;1;0.0230695893368237
2090;2;0.0218041498906101
2091;1;0.0230536908330988
2091;2;0.0217891234697582
2092;1;0.0230385979250363
2092;2;0.021774858455116
2093;1;0.0230245976307707
2093;2;0.0217616261209716
2094;1;0.0230119732539721
2094;2;0.0217496942308988
2095;1;0.0230009340122816
2095;2;0.0217392605262937
2096;1;0.0229916951167071
2096;2;0.0217305284131647
2097;1;0.0229844450485834
2097;2;0.0217236760340531
2098;1;0.0229793629242086
2098;2;0.0217188726801652
2099;1;0.0229766226204263
2099;2;0.0217162826906538
2100;1;0.02297626416037
2100;2;0.0217159438932577
2101;1;0.0229782892668617
2101;2;0.0217178579162967
2102;1;0.0229825278861087
2102;2;0.0217218640339627
2103;1;0.022988738004737
2103;2;0.0217277335080756
2104;1;0.0229965950182551
2104;2;0.0217351595397202
2105;1;0.0230057173390681
2105;2;0.0217437814725797
2106;1;0.0230157129664546
2106;2;0.0217532288084036
2107;1;0.0230261893951988
2107;2;0.0217631305721204
2108;1;0.0230367546226396
2108;2;0.0217731162636464
2109;1;0.023047032252838
2109;2;0.021782830133542
2110;1;0.0230566785360803
2110;2;0.0217919472878456
2111;1;0.0230650177061919
2111;2;0.0217998290282799
2112;1;0.0230718418589718
2112;2;0.0218062788548422
2113;1;0.0230769956586219
2113;2;0.0218111499523913
2114;1;0.0230803800626026
2114;2;0.0218143487111819
2115;1;0.0230819746449076
2115;2;0.0218158558256382
2116;1;0.0230818020764269
2116;2;0.0218156927230808
2117;1;0.0230799393524244
2117;2;0.0218139321753414
2118;1;0.0230765205536996
2118;2;0.0218107009084665
2119;1;0.0230717289203039
2119;2;0.0218061721112151
2120;1;0.023065772843874
2120;2;0.0218005427442878
